indend_level,item_code,item_name,item_name_ri,item_code_cpi
4,SEEB02,Elementary and high school tuition and fees,Elementary and high school tuition and fees,SEEB02
4,SEEB03,Child care and nursery school,Day care and preschool,SEEB03
4,SEEB04,Technical and business school tuition and fees,Technical and business school tuition and fees,SEEB04
4,SEEB09,"Unsampled tuition, other school fees, and childcare","Unsampled tuition, other school fees, and childcare",SEEB
4,SEEC01,Postage,Postage,SEEC01
4,SEEC02,Delivery services,Delivery services,SEEC02
5,SEED03,Wireless telephone services,Wireless telephone services,SEED03
5,SEED04,Land-line telephone services,Residential telephone services,SEED04
4,SEEE01,Personal computers and peripheral equipment,"Computers, peripherals, and smart home assistants",SEEE01
4,SEEE02,Computer software and accessories,Computer software and accessories,SEEE02
4,SEEE03,Internet services and electronic information providers,Internet services and electronic information providers,SEEE03
4,SEEE04,"Telephone hardware, calculators, and other consumer information items","Telephone hardware, calculators, and other consumer information items",SEEE04
4,SEEE09,Unsampled information and information processing,Unsampled information and information processing,SEEE
3,SEGA01,Cigarettes,Cigarettes,SEGA01
3,SEGA02,Tobacco products other than cigarettes,Tobacco products other than cigarettes,SEGA02
3,SEGA09,Unsampled tobacco and smoking products,Unsampled tobacco and smoking products,SEGA
4,SEGB01,"Hair, dental, shaving, and miscellaneous personal care products","Hair, dental, shaving, and miscellaneous personal care products",SEGB01
4,SEGB02,"Cosmetics, perfume, bath, nail preparations and implements","Cosmetics, perfume, bath, nail preparations and implements",SEGB02
4,SEGB09,Unsampled personal care products,Unsampled personal care products,SEGB
4,SEGC01,Haircuts and other personal care services,Haircuts and other personal care services,SEGC01
4,SEGD01,Legal services,Legal services,SEGD01
4,SEGD02,Funeral expenses,Funeral expenses,SEGD02
4,SEGD03,Laundry and dry cleaning services,Laundry and dry cleaning services,SEGD03
4,SEGD04,Apparel services other than laundry and dry cleaning,Apparel services other than laundry and dry cleaning,SEGD04
4,SEGD05,Financial services,Financial services,SEGD05
4,SEGD09,Unsampled items,Unsampled items,SEGD
3,SEGE01,Miscellaneous personal goods,Miscellaneous personal goods,SEGE
