indend_level,item_code,item_name,item_name_ri,item_code_cpi,indent_level,CPIU,CPIW,year,name_2,name_3,name_1,ri_ref_ym,cpi_yr
4,SEHP02,Gardening and lawncare services,Gardening and lawncare services,SEHP02,4,0.261,0.099,2001,Household furnishings and operations,Household operations,Housing,200112,2002
4,SEHP03,"Moving, storage, freight expense","Moving, storage, freight expense",SEHP03,4,0.098,0.075,2001,Household furnishings and operations,Household operations,Housing,200112,2002
4,SEHP04,Repair of household items,Repair of household items,SEHP04,4,0.087,0.06,2001,Household furnishings and operations,Household operations,Housing,200112,2002
4,SEHP09,Unsampled household operations,Unsampled household operations,SEHP,4,0.084,0.05,2001,Household furnishings and operations,Household operations,Housing,200112,2002
4,SEAA01,"Men's suits, sport coats, and outerwear","Men's suits, sport coats, and outerwear",SEAA01,4,0.201,0.189,2001,Men's and boys' apparel,Men's apparel,Apparel,200112,2002
4,SEAA02,Men's furnishings,"Men's underwear, nightwear, swimwear and accessories",SEAA02,4,0.191,0.196,2001,Men's and boys' apparel,Men's apparel,Apparel,200112,2002
4,SEAA03,Men's shirts and sweaters,Men's shirts and sweaters,SEAA03,4,0.263,0.279,2001,Men's and boys' apparel,Men's apparel,Apparel,200112,2002
4,SEAA04,Men's pants and shorts,Men's pants and shorts,SEAA04,4,0.203,0.241,2001,Men's and boys' apparel,Men's apparel,Apparel,200112,2002
4,SEAA09,Unsampled men's apparel,Unsampled men's apparel,SEAA,4,0.021,0.023,2001,Men's and boys' apparel,Men's apparel,Apparel,200112,2002
3,SEAB01,Boys' apparel,Boys' apparel,SEAB,3,0.242,0.316,2001,Men's and boys' apparel,Boys' apparel,Apparel,200112,2002
4,SEAC01,Women's outerwear,Women's outerwear,SEAC01,4,0.108,0.111,2001,Women's and girls' apparel,Women's apparel,Apparel,200112,2002
4,SEAC02,Women's dresses,Women's dresses,SEAC02,4,0.214,0.247,2001,Women's and girls' apparel,Women's apparel,Apparel,200112,2002
4,SEAC03,Women's suits and separates,Women's suits and separates,SEAC03,4,0.762,0.712,2001,Women's and girls' apparel,Women's apparel,Apparel,200112,2002
4,SEAC04,"Women's underwear, nightwear, sportswear and accessories","Women's underwear, nightwear, swimwear, and accessories",SEAC04,4,0.4,0.399,2001,Women's and girls' apparel,Women's apparel,Apparel,200112,2002
4,SEAC09,Unsampled women's apparel,Unsampled women's apparel,SEAC,4,0.032,0.036,2001,Women's and girls' apparel,Women's apparel,Apparel,200112,2002
3,SEAD01,Girls' apparel,Girls' apparel,SEAD,3,0.292,0.36,2001,Women's and girls' apparel,Girls' apparel,Apparel,200112,2002
3,SEAE01,Men's footwear,Men's footwear,SEAE01,3,0.29,0.416,2001,Footwear,Men's footwear,Apparel,200112,2002
3,SEAE02,Boys' and girls' footwear,Boys' and girls' footwear,SEAE02,3,0.177,0.269,2001,Footwear,Boys' and girls' footwear,Apparel,200112,2002
3,SEAE03,Women's footwear,Women's footwear,SEAE03,3,0.407,0.48,2001,Footwear,Women's footwear,Apparel,200112,2002
2,SEAF01,Infants' and toddlers' apparel,Infants' and toddlers' apparel,SEAF,2,0.203,0.256,2001,Infants' and toddlers' apparel,Infants' and toddlers' apparel,Apparel,200112,2002
3,SEAG01,Watches,Watches,SEAG01,3,0.058,0.057,2001,Jewelry and watches,Watches,Apparel,200112,2002
3,SEAG02,Jewelry,Jewelry,SEAG02,3,0.336,0.245,2001,Jewelry and watches,Jewelry,Apparel,200112,2002
4,SETA01,New vehicles,New vehicles,SETA01,4,5.083,4.897,2001,Private transportation,New and used motor vehicles,Transportation,200112,2002
4,SETA02,Used cars and trucks,Used cars and trucks,SETA02,4,2.195,4.099,2001,Private transportation,New and used motor vehicles,Transportation,200112,2002
4,SETA03,Leased cars and trucks,Leased cars and trucks,SETA03,4,1.061,0.925,2001,Private transportation,New and used motor vehicles,Transportation,200112,2002
4,SETA04,Car and truck rental,Car and truck rental,SETA04,4,0.12,0.085,2001,Private transportation,New and used motor vehicles,Transportation,200112,2002
4,SETA09,Unsampled new and used motor vehicles,Unsampled new and used motor vehicles,SETA,4,0.155,0.14,2001,Private transportation,New and used motor vehicles,Transportation,200112,2002
4,SETB01,Gasoline (all types),Gasoline (all types),SETB01,4,2.536,3.12,2001,Private transportation,Motor fuel,Transportation,200112,2002
4,SETB02,Other motor fuels,Other motor fuels,SETB02,4,0.028,0.033,2001,Private transportation,Motor fuel,Transportation,200112,2002
4,SETC01,Tires,Tires,SETC01,4,0.234,0.262,2001,Private transportation,Motor vehicle parts and equipment,Transportation,200112,2002
4,SETC02,Vehicle accessories other than tires,Vehicle accessories other than tires,SETC02,4,0.187,0.268,2001,Private transportation,Motor vehicle parts and equipment,Transportation,200112,2002
4,SETD01,Motor vehicle body work,Motor vehicle body work,SETD01,4,0.082,0.077,2001,Private transportation,Motor vehicle maintenance and repair,Transportation,200112,2002
